ID,Name,Author,time spent,logged at
13702,KLMF-17,eay9,1h,2020-01-16T20:28:00.000+0000
13702,KLMF-17,eay9,1h,2020-01-17T20:28:00.000+0000
13702,KLMF-17,eay9,1d,2020-01-25T20:28:00.000+0000
13702,KLMF-17,meche_issue_lister,1d,2020-02-02T22:43:54.022+0000
13702,KLMF-17,meche_issue_lister,1d,2020-02-09T21:56:22.130+0000
13702,KLMF-17,meche_issue_lister,1d,2020-02-17T04:58:20.215+0000
13702,KLMF-17,eay9,2d 2h,2020-03-01T16:07:00.000+0000
13702,KLMF-17,meche_issue_lister,1d,2020-03-05T22:51:57.649+0000
13702,KLMF-17,meche_issue_lister,1d,2020-03-05T22:57:27.070+0000
13702,KLMF-17,meche_issue_lister,1d,2020-03-05T22:58:18.881+0000
13701,KLMF-16,csc254,2h 30m,2020-01-15T13:36:00.000+0000
13701,KLMF-16,csc254,1d,2020-01-31T22:45:00.000+0000
13701,KLMF-16,meche_issue_lister,1d,2020-02-09T21:56:22.249+0000
13701,KLMF-16,meche_issue_lister,1d,2020-02-17T04:58:20.346+0000
13701,KLMF-16,csc254,1h,2020-02-20T22:13:00.000+0000
13701,KLMF-16,csc254,2h 30m,2020-02-20T16:08:00.000+0000
13701,KLMF-16,csc254,1h,2020-02-27T17:58:00.000+0000
13701,KLMF-16,csc254,2d 2h,2020-02-29T22:09:00.000+0000
13701,KLMF-16,meche_issue_lister,1d,2020-03-05T22:51:57.812+0000
13701,KLMF-16,meche_issue_lister,1d,2020-03-05T22:57:27.189+0000
13701,KLMF-16,meche_issue_lister,1d,2020-03-05T22:58:19.031+0000
